ticker;nm_empresa;cnpj;setor_economico;subsetor;segmento;dt_abertura;matriz.empresaMatriz;cd_cnae_principal;de_cnae_principal;de_ramo_atividade;de_setor;endereco_cep;endereco_municipio;endereco_uf;endereco_regiao;endereco_mesorregiao;situacao_cadastral;nivel_atividade;empresa_porte;saude_tributaria;optante_simples;optante_simei
TKNO3, TKNO4;TEKNO;33467572000134;MATERIAIS BÁSICOS;SIDERURGIA E METALURGIA;ARTEFATOS DE FERRO E AÇO;1966-09-21;True;2599399,0;FABRICACAO DE OUTROS PRODUTOS DE METAL NAO ESPECIFICADOS ANTERIORMENTE;SIDERURGICA-METALURGIA;INDUSTRIA;2060040,0;SAO PAULO;SP;SUDESTE;METROPOLITANA DE SAO PAULO;ATIVA;ALTO;GRANDE;CINZA;False;False
PMAM3;PARANAPANEMA;60398369000479;MATERIAIS BÁSICOS;SIDERURGIA E METALURGIA;ARTEFATOS DE COBRE;2009-10-21;False;2443100,0;METALURGIA DO COBRE;SIDERURGICA-METALURGIA;INDUSTRIA;42850000,0;DIAS D AVILA;BA;NORDESTE;METROPOLITANA DE SALVADOR;ATIVA;ALTO;GRANDE;CINZA;False;False
BRKM6, BRKM5, BRKM3;BRASKEM;42150391000170;MATERIAIS BÁSICOS;QUÍMICOS;PETROQUÍMICOS;1973-03-12;True;2021500,0;FABRICACAO DE PRODUTOS PETROQUIMICOS BASICOS;QUIMICA-PETROQUIMICA;INDUSTRIA;42816200,0;CAMACARI;BA;NORDESTE;METROPOLITANA DE SALVADOR;ATIVA;ALTO;GRANDE;CINZA;False;False
ELEK3, ELEK4;ELEKEIROZ;13788120000147;MATERIAIS BÁSICOS;QUÍMICOS;PETROQUÍMICOS;1969-08-19;True;2022300,0;FABRICACAO DE INTERMEDIARIOS PARA PLASTIFICANTES RESINAS E FIBRAS;QUIMICA-PETROQUIMICA;INDUSTRIA;13224030,0;VARZEA PAULISTA;SP;SUDESTE;MACRO METROPOLITANA PAULISTA;ATIVA;ALTO;GRANDE;VERDE;False;False
GPCP3, GPCP4;GPC PART;2193750000152;MATERIAIS BÁSICOS;QUÍMICOS;PETROQUÍMICOS;1997-10-20;True;6462000,0;HOLDINGS DE INSTITUICOES NAO FINANCEIRAS;BENS DE CAPITAL;SERVICOS;20021290,0;RIO DE JANEIRO;RJ;SUDESTE;METROPOLITANA DO RIO DE JANEIRO;ATIVA;ALTO;GRANDE;VERDE;False;False
FHER3;FER HERINGER;22266175000188;MATERIAIS BÁSICOS;QUÍMICOS;FERTILIZANTES E DEFENSIVOS;1973-01-22;True;2013402,0;FABRICACAO DE ADUBOS E FERTILIZANTES EXCETO ORGANO MINERAIS;QUIMICA-PETROQUIMICA;INDUSTRIA;29136519,0;VIANA;ES;SUDESTE;CENTRAL ESPIRITO SANTENSE;ATIVA;ALTO;GRANDE;VERDE;False;False
;NUTRIPLANT;;MATERIAIS BÁSICOS;QUÍMICOS;FERTILIZANTES E DEFENSIVOS;;;;;;;;;;;;;;;;;
CRPG3, CRPG5, CRPG6;CRISTAL;15115504000124;MATERIAIS BÁSICOS;QUÍMICOS;QUÍMICOS DIVERSOS;1967-05-08;True;2019399,0;FABRICACAO DE OUTROS PRODUTOS QUIMICOS INORGANICOS NAO ESPECIFICADOS ANTERIORMENTE;QUIMICA-PETROQUIMICA;INDUSTRIA;42829710,0;CAMACARI;BA;NORDESTE;METROPOLITANA DE SALVADOR;ATIVA;ALTO;GRANDE;VERDE;False;False
UNIP3, UNIP5, UNIP6;UNIPAR;33958695000178;MATERIAIS BÁSICOS;QUÍMICOS;QUÍMICOS DIVERSOS;1972-03-14;True;2011800,0;FABRICACAO DE CLORO E ALCALIS;QUIMICA-PETROQUIMICA;INDUSTRIA;4543011,0;SAO PAULO;SP;SUDESTE;METROPOLITANA DE SAO PAULO;ATIVA;ALTO;GRANDE;VERMELHO;False;False
DTEX3;DURATEX;97837181000147;MATERIAIS BÁSICOS;MADEIRA E PAPEL;MADEIRA;1966-09-28;True;1621800,0;FABRICACAO DE MADEIRA LAMINADA E DE CHAPAS DE MADEIRA COMPENSADA PRENSADA E AGLOMERADA;BENS DE CONSUMO;INDUSTRIA;1310942,0;SAO PAULO;SP;SUDESTE;METROPOLITANA DE SAO PAULO;ATIVA;ALTO;GRANDE;AMARELA;False;False
