cnpj;optante_simples;optante_simei
12445484000161;TRUE;FALSE
12502509000111;TRUE;TRUE
12502896000196;TRUE;FALSE
12535446000108;FALSE;FALSE
12672283000288;;
12681280000120;FALSE;FALSE
12807563000841;FALSE;FALSE
12812861000153;TRUE;TRUE
12855203000149;TRUE;TRUE
12879147000182;TRUE;FALSE
12910802000118;TRUE;TRUE
12981590000160;TRUE;FALSE
13001350000114;TRUE;FALSE
13010332000107;TRUE;FALSE
13087704000195;TRUE;FALSE
13142186000165;TRUE;FALSE
13230524000110;TRUE;FALSE
13250978000153;FALSE;FALSE
13272662000324;;
13325846000143;TRUE;FALSE
13548553000125;TRUE;FALSE
13591745000114;TRUE;TRUE
13641442000169;TRUE;TRUE
13674289000176;FALSE;FALSE
13730794000190;TRUE;FALSE
13765489000134;FALSE;FALSE
13776261000140;TRUE;TRUE
13781314000110;TRUE;FALSE
13786500000142;TRUE;FALSE
13819486000136;TRUE;TRUE
13947569000453;FALSE;FALSE
13950707000100;TRUE;TRUE
14005833000150;TRUE;FALSE
14107273000144;TRUE;TRUE
14110585000107;FALSE;FALSE
14164183000195;TRUE;TRUE
14311228000107;TRUE;FALSE
14360072000154;TRUE;FALSE
14380320000129;FALSE;FALSE
14535050000340;FALSE;FALSE
14588848000198;TRUE;FALSE
14596257000162;TRUE;TRUE
14611612000125;TRUE;TRUE
14634589000194;TRUE;TRUE
14776142000150;FALSE;FALSE
15020311000190;TRUE;TRUE
15043138000145;FALSE;FALSE
15058863000197;TRUE;TRUE
15101405000193;FALSE;FALSE
15107421000193;FALSE;FALSE
15217514000170;TRUE;TRUE
15253413000155;TRUE;TRUE
15271439000126;TRUE;FALSE
15287368000150;TRUE;TRUE
15466144000105;FALSE;FALSE
15494559000192;TRUE;TRUE
15660952000109;FALSE;FALSE
15717597000167;TRUE;TRUE
15761008000148;FALSE;FALSE
15774612000109;FALSE;FALSE
15780520000131;TRUE;FALSE
15798194000190;FALSE;FALSE
16422981000103;TRUE;FALSE
16556961000117;TRUE;FALSE
16567415000181;TRUE;TRUE
16596395000177;TRUE;TRUE
16614075000100;FALSE;FALSE
16737238000134;TRUE;FALSE
16752433000133;TRUE;TRUE
16811931000100;FALSE;FALSE
16902314006401;FALSE;FALSE
16938080000241;TRUE;FALSE
16945284000129;FALSE;FALSE
17011779000143;FALSE;FALSE
17033453000117;FALSE;FALSE
17070610000164;TRUE;TRUE
17071232000133;TRUE;TRUE
17161241000115;FALSE;FALSE
17182670000179;TRUE;FALSE
17218295000250;FALSE;FALSE
17232347000162;TRUE;TRUE
17239595000135;TRUE;TRUE
17311471000113;TRUE;FALSE
17387302000167;TRUE;FALSE
17410830000190;TRUE;FALSE
17449429000163;TRUE;TRUE
17465537000120;TRUE;FALSE
17466371000166;FALSE;FALSE
17495895000185;TRUE;FALSE
17509133000190;TRUE;TRUE
17528330000157;FALSE;FALSE
17804665000150;TRUE;FALSE
17835082000197;TRUE;TRUE
18011256000160;TRUE;FALSE
18150253000107;TRUE;TRUE
18172329000103;TRUE;TRUE
18183935000116;TRUE;TRUE
18189907000106;TRUE;TRUE
18243615000104;FALSE;FALSE
18253779000112;FALSE;FALSE
18323356000121;TRUE;TRUE
18352114000166;TRUE;TRUE
18442348000102;TRUE;FALSE
18507155000184;TRUE;TRUE
18593512000174;TRUE;TRUE
18593815000197;FALSE;FALSE
18619025000133;FALSE;FALSE
18649090000101;TRUE;TRUE
18729956000194;TRUE;TRUE
18858266000135;TRUE;FALSE
18882093000190;FALSE;FALSE
19040714000151;TRUE;TRUE
19224409000110;TRUE;TRUE
19328639000129;TRUE;TRUE
19360869000175;TRUE;TRUE
19372920000169;TRUE;TRUE
19406664000183;TRUE;FALSE
19462615000168;TRUE;FALSE
19462657000107;TRUE;TRUE
19526748000150;FALSE;FALSE
19535506000123;TRUE;FALSE
19578007000113;TRUE;FALSE
19716270000121;TRUE;FALSE
19720141000107;TRUE;FALSE
19775029000173;TRUE;TRUE
19785634000125;TRUE;FALSE
19822545000101;TRUE;FALSE
19824428000187;FALSE;FALSE
19836078000179;FALSE;FALSE
19846785000146;FALSE;FALSE
19870145000171;TRUE;TRUE
19921805000104;TRUE;FALSE
20027610000196;TRUE;TRUE
20130782000190;FALSE;FALSE
20160724000100;TRUE;TRUE
20196158000277;FALSE;FALSE
20223122000154;TRUE;TRUE
20314377000122;FALSE;FALSE
20329056000100;TRUE;TRUE
20335197000127;TRUE;FALSE
20341860000104;FALSE;FALSE
20344555000168;TRUE;TRUE
20353559000102;TRUE;FALSE
20387711000178;TRUE;TRUE
20400711000160;TRUE;TRUE
20430051000160;TRUE;TRUE
20535054000169;TRUE;TRUE
20550180000192;TRUE;FALSE
20642357000180;TRUE;TRUE
20684195000143;FALSE;FALSE
20730306000100;TRUE;TRUE
20761460000140;TRUE;TRUE
20782901000190;TRUE;TRUE
20813943000140;TRUE;TRUE
20819180000145;TRUE;TRUE
20911917000155;TRUE;TRUE
20947690000106;TRUE;TRUE
20964044000149;TRUE;FALSE
21004231000143;FALSE;FALSE
21045775000153;TRUE;TRUE
21067825000101;FALSE;FALSE
21074883000154;TRUE;TRUE
21091578000170;TRUE;TRUE
21471507000101;TRUE;TRUE
21475315000165;FALSE;FALSE
21475435000162;TRUE;TRUE
21496381000111;FALSE;FALSE
21541064000170;TRUE;TRUE
21582629000167;TRUE;TRUE
21679270000140;TRUE;TRUE
21745758000129;TRUE;TRUE
21852990000166;TRUE;TRUE
21917608000155;TRUE;TRUE
21949339000109;TRUE;TRUE
21961806000116;FALSE;FALSE
22053229000127;TRUE;TRUE
22055773000108;FALSE;FALSE
22067445000121;TRUE;TRUE
22244477000155;TRUE;FALSE
22418915000154;TRUE;TRUE
22478712000153;TRUE;FALSE
22479591000164;TRUE;TRUE
22556290000197;TRUE;FALSE
22564842000109;TRUE;FALSE
22607886000179;TRUE;TRUE
22656867000132;TRUE;TRUE
22667346000180;TRUE;TRUE
22742913000116;FALSE;FALSE
22864020000224;;
22900946000147;TRUE;TRUE
22902338005726;;
23016883000123;TRUE;FALSE
23033820000185;TRUE;TRUE
23044655000167;TRUE;TRUE
23108219000295;;
23131867000181;TRUE;TRUE
23149219000152;TRUE;FALSE
23222770000184;TRUE;TRUE
23239287000102;TRUE;TRUE
23265671000180;FALSE;FALSE
23268180000192;TRUE;TRUE
23272473000143;TRUE;TRUE
23286346000101;FALSE;FALSE
23437161000142;TRUE;TRUE
23456138000103;FALSE;FALSE
23540274000179;TRUE;TRUE
23638442000163;TRUE;TRUE
23716188000174;TRUE;TRUE
23829541000122;TRUE;FALSE
23873368000160;FALSE;FALSE
23879180000129;TRUE;TRUE
23891896000141;TRUE;FALSE
23892100000175;TRUE;TRUE
23892743000119;FALSE;FALSE
24024024000149;TRUE;TRUE
24025471000112;TRUE;TRUE
24056078000196;TRUE;FALSE
24139813000125;TRUE;FALSE
24155987000181;TRUE;TRUE
24170306000154;TRUE;FALSE
24199199000197;FALSE;FALSE
24205264000140;TRUE;TRUE
24230275000180;FALSE;FALSE
24235014000152;TRUE;TRUE
24267548000160;TRUE;TRUE
24279608000165;TRUE;FALSE
24305242000151;TRUE;FALSE
